angDist,_RAJ2000,_DEJ2000,E,GaiaDR2,RAJ2000,DEJ2000,PRF,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.175469,132.84977065044,11.58065417105,,604895089366706304,132.84977065044,11.58065417105,1.0,Simbad,132.84981867647,11.58066690630,0.0003513,0.0002447,106.85,604895089366706304,132.84976910452,0.0174,11.58065376440,0.0093,1.1393,0.0204,55.9829,11.320,-10.927,0.022,-2.957,0.016,358,0.8457,378.46,0.000,0.000e+00,31,,,16,1.031,0,5.37137e+04,9.46793e+00,13.862155,2.79540e+04,2.11930e+01,14.222431,3.67146e+04,13.335797,1.204,0.886634,,,0,,,121891328498607285,1237671124833468656,,508147329,0.002762,0.002909,0.003937,13.862155,0.002762,5.37137e+04,-0.003,0.3436,0.2554,-0.2007
0.173761,132.72230215752,11.81593364443,,604915597834696448,132.72230215752,11.81593364443,1.0,Simbad,132.72234995687,11.81594550706,0.0005095,0.0003429,116.38,604915602131975552,132.72230061209,0.0249,11.81593326061,0.0136,1.1716,0.0304,38.5675,11.211,-10.867,0.030,-2.755,0.024,396,0.1737,411.76,0.000,0.000e+00,95,1.5172,0.0049,17,1.005,0,1.94137e+04,5.01437e+00,14.967095,9.75493e+03,1.60527e+01,15.365481,1.36404e+04,14.410830,1.205,0.954652,,,0,,,122171327223579609,1237671125370339428,,510152960,0.002770,0.003313,0.003904,14.969243,0.002770,1.93753e+04,-0.008,0.4812,0.3816,-0.3078
0.176068,132.92451722015,11.82711987665,,604917938592657024,132.92451722015,11.82711987665,1.0,Simbad,132.92456560264,11.82713210086,0.0004613,0.0003075,108.41,604917938592657024,132.92451565493,0.0221,11.82711947888,0.0113,1.1551,0.0274,42.1182,11.360,-11.000,0.028,-2.840,0.020,439,-0.8823,421.05,0.000,0.000e+00,31,,,18,0.969,0,2.33703e+04,4.55174e+00,14.765704,1.19893e+04,1.44378e+01,15.141557,1.62223e+04,14.222617,1.207,0.918940,,,0,,,122191329245623032,1237671262272291020,,510153329,0.002763,0.003081,0.003981,14.765704,0.002763,2.33703e+04,-0.002,0.4483,0.3261,-0.2423
0.174696,132.84975023716,11.41369726305,,598884952650222336,132.84975023716,11.41369726305,1.0,Simbad,132.84979825801,11.41370905857,0.0002638,0.0001760,115.49,598884952650222336,132.84974869134,0.0126,11.41369687301,0.0071,1.1383,0.0150,76.0116,11.271,-10.932,0.016,-2.742,0.012,414,0.8725,457.80,0.000,0.000e+00,31,,,17,1.030,0,1.03664e+05,1.77869e+01,13.148294,5.78701e+04,3.93905e+01,13.432406,6.58090e+04,12.702182,1.193,0.730225,,,0,,,121691328498436959,1237671124833468604,,508147328,0.002762,0.002886,0.003836,13.148294,0.002762,1.03664e+05,-0.001,0.2499,0.1953,-0.3073
0.176856,132.91470715507,11.75036749265,,604916254965494528,132.91470715507,11.75036749265,1.0,Simbad,132.91475589683,11.75037916259,0.0005543,0.0003624,102.56,604916254965494528,132.91470558066,0.0277,11.75036711757,0.0141,1.1951,0.0337,35.4329,11.410,-11.084,0.034,-2.710,0.023,376,0.3346,394.70,0.000,0.000e+00,31,,,17,1.011,0,1.69881e+04,4.01761e+00,15.112006,8.40218e+03,1.34003e+01,15.527562,1.21999e+04,14.532009,1.213,0.995553,,,0,,,122101329147550927,1237671262272291027,,509150539,0.002767,0.003284,0.003993,15.112006,0.002767,1.69881e+04,-0.004,0.5467,0.3737,-0.1827
0.172216,133.22989427201,11.91688113833,,604931819926896384,133.22989427201,11.91688113833,1.0,Simbad,133.22994143744,11.91689373725,0.0009159,0.0005755,102.18,604931819926896384,133.22989274429,0.0428,11.91688073874,0.0212,1.1894,0.0532,22.3745,11.112,-10.720,0.056,-2.925,0.037,391,-0.1435,397.52,0.000,0.000e+00,31,,,17,0.994,0,7.01914e+03,2.57158e+00,16.071657,3.03941e+03,1.25390e+01,16.631570,5.63837e+03,15.370012,1.236,1.261559,,,0,,,122301332298960764,1237671125370536081,,510153611,0.002784,0.005277,0.004490,16.071657,0.002784,7.01914e+03,-0.007,0.9035,0.5948,-0.1949
0.175438,132.8011806033,11.77257487247,,604911582041107456,132.8011806033,11.77257487247,1.0,Simbad,132.80122867826,11.77258751741,0.0003176,0.0002172,106.47,604911582041107456,132.80117906395,0.0155,11.77257446109,0.0085,1.1772,0.0188,62.6359,11.316,-10.928,0.019,-2.938,0.014,360,4.7165,580.77,0.066,4.457e+00,31,,,18,1.181,0,1.12976e+05,2.86438e+01,13.054901,6.18115e+04,3.57858e+01,13.360868,7.31991e+04,12.586631,1.195,0.774238,,,0,,,122121328012667573,,,509150351,0.002769,0.002860,0.003805,13.054901,0.002769,1.12976e+05,-0.003,0.3107,0.2269,-0.2071
0.177225,133.43160328047,11.83956656558,,604739852068006016,133.43160328047,11.83956656558,1.0,Simbad,133.43165165671,11.83958004795,0.0007765,0.0005067,110.18,604739852068006016,133.43160171959,0.0356,11.83956613458,0.0191,1.2055,0.0421,28.6349,11.434,-10.997,0.046,-3.131,0.034,523,-1.4363,492.51,0.000,0.000e+00,31,,,19,0.955,0,7.01509e+03,2.56008e+00,16.072285,3.03955e+03,6.44185e+00,16.631517,5.65627e+03,15.366570,1.240,1.264948,,,0,,,122201334316457966,1237671262272552974,,510153719,0.002784,0.003617,0.004345,16.072285,0.002784,7.01509e+03,-0.004,0.7495,0.5459,-0.2740
0.178789,133.00168031313,11.93527983384,,604943880195096320,133.00168031313,11.93527983384,1.0,Simbad,133.00172942573,11.93529238775,0.0003787,0.0002391,102.54,604943880195096320,133.00167873187,0.0185,11.93527943030,0.0096,1.1693,0.0223,52.3266,11.534,-11.160,0.023,-2.915,0.015,403,-1.7833,354.43,0.000,0.000e+00,31,,,18,0.937,0,3.94825e+04,7.45598e+00,14.196356,2.10603e+04,1.46561e+01,14.529883,2.63059e+04,13.697763,1.200,0.832120,,,0,,,122321330016992831,1237671125370470494,,510153421,0.002763,0.002891,0.003829,14.196356,0.002763,3.94825e+04,-0.003,0.3733,0.2474,-0.1979
0.172704,132.75057221431,12.41483465685,,605020433691976832,132.75057221431,12.41483465685,1.0,Simbad,132.75061953880,12.41484751606,0.0004035,0.0002654,115.06,605020433691976832,132.75057069106,0.0185,12.41483423994,0.0107,1.0959,0.0224,48.8653,11.142,-10.734,0.024,-2.987,0.018,416,-0.8202,396.11,0.000,0.000e+00,31,,,19,0.971,0,3.13180e+04,5.98176e+00,14.447882,1.66855e+04,1.81874e+01,14.782696,2.09135e+04,13.946828,1.201,0.835868,,,0,,,122891327506108306,1237670595478225021,,513150903,0.002763,0.003031,0.003826,14.447882,0.002763,3.13180e+04,-0.002,0.3824,0.2950,-0.3141
